info: Start new process with arguments: IDENTIFIER-undefined PARENT-undefined
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: uBffivd
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: YrWiUn8
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: TyDQC5n
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: q9mxin3
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: OaU6e4p
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: 8nDorH5
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: 7E20pCc
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: 2kNTh51
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: fqZ3Vzn
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: aHYFueG
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: wMMNv1o
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: oE9UNia
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: 4LBsigk
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: VX7296b
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: k4WwrNm
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: HqgCOaC
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: CML6nMP
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: zUQpf2o
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: q4d5r1h
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: qsoxW9O
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: vAaUgba
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: fyVkYeH
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: mbHH0Wt
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: WhxUIr4
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: TuxW9Fz
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: N7T3pnv
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: 2JGBm6s
info: pid:   368. IDENTIFIER: S5fWiS8. Codefresh random string: fDGkeVF
info: pid:   368. IDENTIFIER: S5fWiS8. case 0 (update)
info: pid:   368. IDENTIFIER: 4XhgLKn. Codefresh random string: mMMWd5d
info: pid:   368. IDENTIFIER: 4XhgLKn. Codefresh random string: d1HrQdr
info: pid:   368. IDENTIFIER: 4XhgLKn. Codefresh random string: Wd3OwjY
info: pid:   368. IDENTIFIER: 4XhgLKn. Codefresh random string: aaKd0lE
info: pid:   368. IDENTIFIER: 4XhgLKn. Codefresh random string: 6B57QBX
info: pid:   368. IDENTIFIER: 4XhgLKn. Codefresh random string: moziQDx
info: pid:   368. IDENTIFIER: 4XhgLKn. Codefresh random string: Oi2Ktxi
info: pid:   368. IDENTIFIER: 4XhgLKn. Codefresh random string: 6c33cDn
info: pid:   368. IDENTIFIER: 4XhgLKn. case 0 (update)
info: pid:   368. IDENTIFIER: kUnD7lU. Codefresh random string: NZE7ZGV
info: pid:   368. IDENTIFIER: kUnD7lU. Codefresh random string: pK0FcyZ
info: pid:   368. IDENTIFIER: kUnD7lU. Codefresh random string: DAxVpB2
info: pid:   368. IDENTIFIER: kUnD7lU. Codefresh random string: FdaM4dE
info: pid:   368. IDENTIFIER: kUnD7lU. Codefresh random string: zM8NUcd
info: pid:   368. IDENTIFIER: kUnD7lU. Codefresh random string: 63ZUzAn
info: pid:   368. IDENTIFIER: kUnD7lU. Codefresh random string: q4VbsFx
info: pid:   368. IDENTIFIER: kUnD7lU. Codefresh random string: oGO5rpe
info: pid:   368. IDENTIFIER: kUnD7lU. Codefresh random string: GcE3IT7
info: pid:   368. IDENTIFIER: kUnD7lU. case 1 (fork 3792)
info: pid:   368. IDENTIFIER: kUnD7lU. Codefresh random string: BYVnWkl
info: pid:   368. IDENTIFIER: kUnD7lU. Codefresh random string: RWbm0Os
info: pid:   368. IDENTIFIER: kUnD7lU. Codefresh random string: Oh3kCGs
info: pid:   368. IDENTIFIER: kUnD7lU. Codefresh random string: cUuONU8
info: pid:   368. IDENTIFIER: kUnD7lU. Codefresh random string: j8xZDOQ
info: pid:   368. IDENTIFIER: kUnD7lU. case 1 (fork 10300)
info: pid:   368. IDENTIFIER: kUnD7lU. Codefresh random string: FGuudXf
info: pid:   368. IDENTIFIER: kUnD7lU. case 0 (update)
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: RawjyKf
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: PfA3KXJ
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: GIoviXP
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: MJY26zK
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: yCeVKEa
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: vr1Fm1o
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: huubqPS
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: utwzDx5
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: 3nrMuHQ
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: N8YNvI7
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: TSN3LTK
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: bO5vx1v
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: 3HlHRaE
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: to5lhAR
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: h2mZKe4
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: 0CicOrs
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: e7FKnSi
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: rYLG4T3
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: hvnLatF
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: GWjW0RG
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: DZJ2l0P
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: 5vbzez7
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: 40ZIFiM
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: UEUnS0C
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: S86cjjr
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: ldLW0UH
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: QhJiUbM
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: mBISEGf
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: 8vlV8yt
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: Hdqa1QP
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: 7vHH0Z0
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: sh1eQlG
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: qan9xO3
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: XdnZAq5
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: 6AY7Kgq
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: 3qB3pur
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: CVX61vv
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: nVUsPR9
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: iMAU0Cz
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: PJ6xcp4
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: r3dCRmO
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: hvjLOwK
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: Y541NFS
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: Z8f1DY6
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: I1cJL7P
info: pid:   368. IDENTIFIER: ccyr0Nz. Codefresh random string: M44KqzT
info: Start new process with arguments: IDENTIFIER-kUnD7lU PARENT-368
info: kill 368 process from 10300
info: pid: 10300. IDENTIFIER: kUnD7lU. case (expired ID) get new one
info: Start new process with arguments: IDENTIFIER-kUnD7lU PARENT-368
info: kill 368 process from 3792
error: process 368 not found. Can't kill it.
info: pid:  3792. IDENTIFIER: kUnD7lU. case (expired ID) get new one
info: pid: 10300. IDENTIFIER: nWugeUx. Codefresh random string: ahCSlXw
info: pid: 10300. IDENTIFIER: nWugeUx. case 2 (exit)
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: cxFclwz
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: pZxhrPE
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: GulK2a6
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: oF0sTum
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: EXO7iBS
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: iMlIc3R
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: JtAXoC9
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: 0TC06xq
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: QkFOYRd
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: wcSjtWL
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: S5Fqq9k
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: yTK0wnO
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: lBEo0o9
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: 9ezkCF5
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: Fp6iyLX
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: ZqOUOK1
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: L7c7LK3
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: phA3HTj
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: tfxQo0k
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: OYuR26T
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: cZa6oF7
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: DiWGipY
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: fj3AU9B
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: GaVxceP
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: MPfDuYB
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: VakVQdM
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: 4sbLzRk
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: O9ZUHhV
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: Ppa7Rti
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: Id37yln
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: dTDLXkU
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: y2i9kCj
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: YWiYLQa
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: tB1BGxX
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: PQzpfi6
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: 0uCebsn
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: Fyh4Yu4
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: pON8UXy
info: pid:  3792. IDENTIFIER: 685ac0N. Codefresh random string: oB7cQjJ
info: pid:  3792. IDENTIFIER: 685ac0N. case 0 (update)
info: pid:  3792. IDENTIFIER: l5Okaix. Codefresh random string: JJ5bbHo
info: pid:  3792. IDENTIFIER: l5Okaix. Codefresh random string: KMXYhrT
info: pid:  3792. IDENTIFIER: l5Okaix. Codefresh random string: FRIZFh4
info: pid:  3792. IDENTIFIER: l5Okaix. Codefresh random string: e0Uh1zK
info: pid:  3792. IDENTIFIER: l5Okaix. Codefresh random string: 8vygGYj
info: pid:  3792. IDENTIFIER: l5Okaix. Codefresh random string: tDIrqJJ
info: pid:  3792. IDENTIFIER: l5Okaix. Codefresh random string: j8GzaFQ
info: pid:  3792. IDENTIFIER: l5Okaix. Codefresh random string: Id1hcYh
info: pid:  3792. IDENTIFIER: l5Okaix. Codefresh random string: kJQkdCD
info: pid:  3792. IDENTIFIER: l5Okaix. case 0 (update)
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: IwWR8gQ
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: XdKOgwf
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: 7USm9vp
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: I6VxHbb
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: Lw2syOV
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: 5KylDyi
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: FLmXTLL
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: kKL1CZC
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: mZllv4K
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: 4tJnp0Y
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: 8gNgris
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: cz6D2ym
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: z0FfI9h
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: 9jtgKdw
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: xC9eZVU
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: o8QiP0t
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: vQrmVAz
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: oKj2a3W
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: EqpgytO
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: DApjjPr
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: oEwFwqO
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: DtUinP0
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: ct00MlD
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: usu4FTD
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: tMQQTFR
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: ByPX5wA
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: pSUH5N2
info: pid:  3792. IDENTIFIER: 8BP8BrW. Codefresh random string: hgZX6s2
info: pid:  3792. IDENTIFIER: 8BP8BrW. case 2 (exit)
